Date,Open,High,Low,Close,Volume
2023-05-02,44821.62,45659.94,44756.19,45490.01,2342650
2023-05-03,45490.08,46518.24,45490.08,46518.24,2596884
2023-05-04,46517.37,46781.92,46026.2,46322.5,2106044
2023-05-05,46322.94,46557.27,46047.44,46330.72,1590743
2023-05-08,46331.46,46754.16,46264.25,46638.6,3642155
2023-05-09,46638.49,46881.51,46308.65,46741.15,2353987
2023-05-10,46741.05,47050.71,45986.13,46252.72,2035258
2023-05-11,46253.0,46404.37,45896.72,46073.98,2937532
2023-05-12,46074.07,46479.65,45958.99,46044.03,2053316
2023-05-15,46043.46,46364.42,45857.38,45929.11,1703434
2023-05-16,45929.28,46144.36,45611.12,45848.12,2579868
2023-05-17,45848.74,46026.76,45676.7,45859.3,1415826
2023-05-18,45859.29,46371.53,45842.73,46371.53,2164572
2023-05-19,46370.76,46840.4,46249.87,46587.39,2422581
2023-05-22,46587.01,46882.06,46440.92,46562.45,1679356
2023-05-23,46562.78,46737.54,46363.73,46490.46,1916194
2023-05-24,46490.42,46688.44,46139.63,46303.67,2897679
2023-05-25,46304.04,47180.4,46297.25,47138.99,2983975
2023-05-26,47138.12,47614.95,47080.45,47573.35,2782299
2023-05-30,47573.85,47750.1,47237.17,47515.68,3422149
2023-05-31,47515.82,47723.12,47147.81,47262.34,9274868
2023-06-01,47262.53,47388.39,46730.92,46850.16,2267400
2023-06-02,46850.63,47869.65,46850.63,47869.61,1827661
2023-06-05,47869.52,48419.43,47761.21,48117.93,2433682
2023-06-06,48118.15,48469.21,47949.3,48287.25,2491183
2023-06-07,48287.54,48800.45,48111.86,48800.45,2639541
2023-06-08,48801.51,49342.4,48556.14,49342.4,2952151
2023-06-09,49341.91,49502.24,49070.02,49320.7,2939486
2023-06-12,49321.68,50011.46,49321.68,50009.74,2655681
2023-06-13,50009.95,50034.33,49345.16,49866.76,2715154
2023-06-14,49867.1,50469.78,49458.2,49959.57,3315678
2023-06-15,49959.45,50383.82,49647.62,50234.91,3372376
2023-06-16,50234.72,50453.45,49783.14,50083.93,6022023
2023-06-19,50084.33,50084.33,49438.62,49586.71,1282162
2023-06-20,49587.1,49936.11,49193.41,49829.16,2279511
2023-06-21,49829.35,50120.79,49544.65,50120.79,1897892
2023-06-22,50121.12,50363.03,49878.9,50162.98,2500736
2023-06-23,50162.89,50420.21,49800.29,50407.86,2503896
2023-06-26,50407.62,50407.62,50029.01,50087.41,2017010
2023-06-27,50087.02,50272.84,49916.23,50060.44,2132417
2023-06-28,50061.51,50594.54,50036.07,50499.45,5424673
2023-06-29,50499.2,50616.25,50279.27,50616.25,5234641
2023-06-30,50615.77,50633.55,50313.18,50505.73,2417341
2023-07-03,50505.66,50553.0,50244.91,50351.4,2481337
2023-07-04,50350.81,50463.91,50022.03,50206.79,1052912
2023-07-05,50208.09,50342.77,49825.62,50074.4,1798009
2023-07-06,50077.53,50077.53,49417.43,49605.16,3341882
2023-07-07,49604.43,50138.22,49392.72,49891.95,1386114
